premium,is_available,category,title,rent_price_per_day,image_url,created_at,price,user_id,description,condition,quantity,updated_at,for_sale
FALSE,TRUE,Furniture,Modern Standing Arched Full-Length Mirror.Black / 180x80cm,383,downloaded_images\69969034_MzAwLTU5MS05NWY1ZmM1MDBk.webp,2025-06-12T00:06:53.425660,11500,20,"Standing Arched full-length mirror black colour. Very strong and heavy. 
180x80cm",Brand New,1,2025-06-12T00:06:53.425660,0
TRUE,FALSE,Furniture,Dressing Room Table,650,downloaded_images\73242425_MzAwLTMxMi1mM2U3ODA0NTYx.webp,2025-06-12T00:06:53.647427,19500,1,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,4,2025-06-12T00:06:53.647427,0
TRUE,TRUE,Furniture,Office Chair : Generic Executive Office Seat,0,downloaded_images\72186729_MzAwLTQ2OS03MGVhODc1ZGMy.webp,2025-06-12T00:06:53.853637,18500,12,A Generic Executive Office Seat is a versatile and professional seating option designed to offer...,Brand New,4,2025-06-12T00:06:53.853637,1
FALSE,TRUE,Furniture,Wooden Arch Backdrop Board,0,downloaded_images\75381210_MzAwLTUzMy1iMjcyOGU5NzFh.webp,2025-06-12T00:06:54.369463,12000,10,Wooden board backrop. 2m by 1.2m. Stand-alone arch backrop for events and ceremonies. Foldable after...,Brand New,3,2025-06-12T00:06:54.369463,1
TRUE,TRUE,Furniture,Vanity Dressing Table With Mirror Stool,933,downloaded_images\74638261_MzAwLTMwMC1jMmQ5M2I1NDkz.webp,2025-06-12T00:06:54.772859,28000,19,Upgrade your space with this beautifully crafted wooden vanity dressing table. Designed with a large...,Brand New,4,2025-06-12T00:06:54.772859,0
TRUE,FALSE,Furniture,Office Tables:180cm Classicist Arched Office Executive Desk,0,downloaded_images\73052071_MzAwLTMwMC0yMDRhMjVhZTAz.webp,2025-06-12T00:06:54.981463,48500,5,The 180cm Classicist Arched Office Executive Desk exudes elegance and functionality. Crafted with...,Brand New,1,2025-06-12T00:06:54.981463,1
FALSE,FALSE,Furniture,Dressing Table,666,downloaded_images\73242031_MzAwLTMyNC1kNWQ2MTU4MDU0.webp,2025-06-12T00:06:55.184520,20000,10,The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,5,2025-06-12T00:06:55.184520,0
TRUE,FALSE,Furniture,Secretarial Office Chair,216,downloaded_images\53343785_MzAwLTMwMC1mZDE0YTZlODc3LTE.webp,2025-06-12T00:06:55.359885,6500,9,The Clerical mesh office chair is the perfect addition to your workspace. With a well-ventilated...,Brand New,5,2025-06-12T00:06:55.359885,0
TRUE,TRUE,Furniture,Classic Leather Office Desk Guest Chair,0,downloaded_images\59977887_MzAwLTI4Ny1lYTgzMmIwNmJl.webp,2025-06-12T00:06:55.553440,13500,11,"The office chair will provide strong support for your back, relieve hip pressure, and bring you...",Brand New,4,2025-06-12T00:06:55.553440,1
TRUE,FALSE,Furniture,"Freestanding Arched Mirror: Black Metal Frame, Wheeled Base",0,downloaded_images\73576675_MzAwLTM3NS1mMmJhY2ZlZTQ2LTI.webp,2025-06-12T00:06:55.736520,3300,12,"* Arched Full-Length Mirror: Black Metal Frame, Freestanding with Wheels, Modern Design",Brand New,5,2025-06-12T00:06:55.736520,1
TRUE,TRUE,Furniture,Clerical Office Seat,216,downloaded_images\54417269_MzAwLTMwMC1hMmYzY2VlZmZjLTE.webp,2025-06-12T00:06:55.911028,6500,2,A modern and long lasting office chair is something that you would be looking for your office or...,Brand New,4,2025-06-12T00:06:55.911028,0
