premium,is_available,category,title,rent_price_per_day,image_url,created_at,price,user_id,location,description,condition,quantity,updated_at,for_sale
FALSE,TRUE,Furniture,Modern Standing Arched Full-Length Mirror.Black / 180x80cm,383,https://pictures-kenya.jijistatic.com/69969034_MzAwLTU5MS05NWY1ZmM1MDBk.webp,03/05/2025 22:49,11500,20,"Nairobi, Unknown","Standing Arched full-length mirror black colour. Very strong and heavy. 
180x80cm",Brand New,1,03/05/2025 22:49,0
TRUE,FALSE,Furniture,Dressing Room Table,650,https://pictures-kenya.jijistatic.com/73242425_MzAwLTMxMi1mM2U3ODA0NTYx.webp,03/05/2025 22:49,19500,1,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,4,03/05/2025 22:49,0
TRUE,TRUE,Furniture,Office Chair : Generic Executive Office Seat,0,https://pictures-kenya.jijistatic.com/72186729_MzAwLTQ2OS03MGVhODc1ZGMy.webp,03/05/2025 22:49,18500,12,"Nairobi, Unknown",A Generic Executive Office Seat is a versatile and professional seating option designed to offer...,Brand New,4,03/05/2025 22:49,1
FALSE,TRUE,Furniture,Wooden Arch Backdrop Board,0,https://pictures-kenya.jijistatic.com/75381210_MzAwLTUzMy1iMjcyOGU5NzFh.webp,03/05/2025 22:49,12000,10,"Nairobi, Unknown",Wooden board backrop. 2m by 1.2m. Stand-alone arch backrop for events and ceremonies. Foldable after...,Brand New,3,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Vanity Dressing Table With Mirror Stool,933,https://pictures-kenya.jijistatic.com/74638261_MzAwLTMwMC1jMmQ5M2I1NDkz.webp,03/05/2025 22:49,28000,19,"Nairobi, Unknown",Upgrade your space with this beautifully crafted wooden vanity dressing table. Designed with a large...,Brand New,4,03/05/2025 22:49,0
TRUE,FALSE,Furniture,Office Tables:180cm Classicist Arched Office Executive Desk,0,https://pictures-kenya.jijistatic.com/73052071_MzAwLTMwMC0yMDRhMjVhZTAz.webp,03/05/2025 22:49,48500,5,"Nairobi, Unknown",The 180cm Classicist Arched Office Executive Desk exudes elegance and functionality. Crafted with...,Brand New,1,03/05/2025 22:49,1
FALSE,FALSE,Furniture,Dressing Table,666,https://pictures-kenya.jijistatic.com/73242031_MzAwLTMyNC1kNWQ2MTU4MDU0.webp,03/05/2025 22:49,20000,10,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,5,03/05/2025 22:49,0
TRUE,FALSE,Furniture,Secretarial Office Chair,216,https://pictures-kenya.jijistatic.com/53343785_MzAwLTMwMC1mZDE0YTZlODc3LTE.webp,03/05/2025 22:49,6500,9,"Nairobi, Unknown",The Clerical mesh office chair is the perfect addition to your workspace. With a well-ventilated...,Brand New,5,03/05/2025 22:49,0
TRUE,TRUE,Furniture,Classic Leather Office Desk Guest Chair,0,https://pictures-kenya.jijistatic.com/59977887_MzAwLTI4Ny1lYTgzMmIwNmJl.webp,03/05/2025 22:49,13500,11,"Nairobi, Unknown","The office chair will provide strong support for your back, relieve hip pressure, and bring you...",Brand New,4,03/05/2025 22:49,1
TRUE,FALSE,Furniture,"Freestanding Arched Mirror: Black Metal Frame, Wheeled Base",0,https://pictures-kenya.jijistatic.com/73576675_MzAwLTM3NS1mMmJhY2ZlZTQ2LTI.webp,03/05/2025 22:49,3300,12,"Nairobi, Unknown","* Arched Full-Length Mirror: Black Metal Frame, Freestanding with Wheels, Modern Design",Brand New,5,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Clerical Office Seat,216,https://pictures-kenya.jijistatic.com/54417269_MzAwLTMwMC1hMmYzY2VlZmZjLTE.webp,03/05/2025 22:49,6500,2,"Nairobi, Unknown",A modern and long lasting office chair is something that you would be looking for your office or...,Brand New,4,03/05/2025 22:49,0
TRUE,TRUE,Furniture,Vinity Dressing Table (White Sliding - Mirror),0,https://pictures-kenya.jijistatic.com/74292871_MzAwLTQwMC0zMDNlZTdjNGM5.webp,03/05/2025 22:49,10500,15,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,3,03/05/2025 22:49,1
TRUE,TRUE,Furniture,Vinity Dressing Table,883,https://pictures-kenya.jijistatic.com/73283231_MzAwLTMwMC0yMzllNTE3YzIz.webp,03/05/2025 22:49,26500,15,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,3,03/05/2025 22:49,0
FALSE,FALSE,Furniture,Executive Dressing Table,1218,https://pictures-kenya.jijistatic.com/73277091_MzAwLTM1My1iYWMyZWFhMDRl.webp,03/05/2025 22:49,36550,22,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,3,03/05/2025 22:49,0
FALSE,FALSE,Furniture,Dressing Table,0,https://pictures-kenya.jijistatic.com/74897530_MzAwLTMwMC03OGIzMTMwMDEw.webp,03/05/2025 22:49,13500,21,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,1,03/05/2025 22:49,1
FALSE,TRUE,Furniture,Vanities Dressing Table,0,https://pictures-kenya.jijistatic.com/73276940_MzAwLTI5NS0xZjAzYzcxNGM4.webp,03/05/2025 22:49,19500,14,"Nairobi, Unknown",The image shows a white vanity table with a mirror and storage compartments. The table has a modern...,Brand New,1,03/05/2025 22:49,1
